id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
z124jr54dqa4srq5k04cgvbyzqfjdjkbqqg0k	0	0	2016-05-10 19:13:57	Hamza Bouri	Si dicen que hay muchos arabes en españa sera que no han visto Francia😂😂﻿	UCYhJtYqCd8g9QJ6Yyd2Uo2g	http://www.youtube.com/channel/UCYhJtYqCd8g9QJ6Yyd2Uo2g	0		
z130xlxrsrmle3ocf23lur4z4wu2w5aax04	0	0	2016-03-16 16:58:21	Mohamed Fayed	&#39;:(﻿	UCrb7IalNVs3eCLmZ1WfVXfQ	http://www.youtube.com/channel/UCrb7IalNVs3eCLmZ1WfVXfQ	0		
z13ithbwgvjxwpcw204cibewnwnncfkosvo0k	0	0	2016-03-16 16:58:09	Mohamed Fayed	lástima que los españoles nos aborrecen mucho :(﻿	UCrb7IalNVs3eCLmZ1WfVXfQ	http://www.youtube.com/channel/UCrb7IalNVs3eCLmZ1WfVXfQ	0		
z123jf3okz3vgprwn04cejg55rvcdl4rzio	0	1	2015-11-16 17:05:09	231de300	yo me siento orgulloso como español y eternamente agradecido a todos mis antepasados que derramaron su sangre para expulsar de estas tierras al Islam, sabiendo quedar con lo bueno de estos que son muchas cosas, nos libraron de padecer en la actualidad un país dogmatizado mucho más machista en definitiva una de tantas sociedades de mierda musulmana, el Islam es nazismo puro y duro, por tanto hay que prohibirlo.﻿	UCVf9kvpOz3mQge6pq43PnJw	http://www.youtube.com/channel/UCVf9kvpOz3mQge6pq43PnJw	0		
z12cwrbiyxnecpoyq04cjvv5nkyst5c4brw0k	0	0	2015-10-19 07:11:31	Jaen Goitortua	Musulmanes largo de Europa﻿	UCN8fscJ0qW5mEro5ELDn4aQ	http://www.youtube.com/channel/UCN8fscJ0qW5mEro5ELDn4aQ	0		
z13kdzbzavrxuxkxh04cfh2jcuimud0hwp00k	1	0	2015-10-19 03:00:05	Karim Dz	uuuuuuu vivo en francia y nunca he visto racismo como en españa en nengun pais son gente retrasada van detras de eurropa y acen lo ki le decen ki teinen ki acer jjjajajajjajaj﻿	UCulSRVT8r7O0yiAKN1xeJ7g	http://www.youtube.com/channel/UCulSRVT8r7O0yiAKN1xeJ7g	0		
z13kdzbzavrxuxkxh04cfh2jcuimud0hwp00k.1459007798142001		0	2016-03-26 16:56:38	Angela maria	Y ustedes los musulmanes no van detrás de europa ? mucho la critican pero tampoco se van	UCRW1EpHuebhadmFgiYV8UWw	http://www.youtube.com/channel/UCRW1EpHuebhadmFgiYV8UWw	1	z13kdzbzavrxuxkxh04cfh2jcuimud0hwp00k	Karim Dz
z12rsrlzltvyzfzi104cfh2jcuimud0hwp00k	2	0	2015-10-19 02:41:33	Karim Dz	solo quiero saber de donde beine todo este odio a es relegion odiaes a raza arabe vale pero la relegion os exo la bronca de ki os ace falta conocemeinto buscar sobre islam y vais a incuntrar lo ki buscais ace teimpo en vuestra vida la filicedad no esta en el dinero o ...........esta en el islam por eso es la relegion mas atacada y cada vez la atakan conveirten mas gente (si sois mas listos ki alemanes eso es otra cosa en alimania cada año2000 persona conveirte al islam) y si hablais sobre la derexo de la mujer el coran el l unic0 libro sagrado ki ki habla sobre el derexo de la mujer y le ha dado sus derexos muxo mas mejor ki la democratia de 2015 tener en cuenta ki fua siglos yyyy conocemeinto se llevamos la relegion mal exar la bronca a lo ki ace no la relegion salam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,﻿	UCulSRVT8r7O0yiAKN1xeJ7g	http://www.youtube.com/channel/UCulSRVT8r7O0yiAKN1xeJ7g	0		
z12rsrlzltvyzfzi104cfh2jcuimud0hwp00k.1458866544590949		0	2016-03-25 01:42:24	Carlos Fuentes	hola amigo, no te preocupes. La gente está muy confundida con el islam, unos terroristas desequilibrados como la isis o daesh no representa a los musulmanes...soy cristiano y respeto mucho la cultura y la religión arabe, aparte de ser mi descendencia, pues soy moreno pelo negro y barbudo con ojos de color marron. Un saludo desde Tenerife Islas Canarias, al ladito de Africa jejeje	UCH-xV3uBZE3AexQ_uSwYY0Q	http://www.youtube.com/channel/UCH-xV3uBZE3AexQ_uSwYY0Q	1	z12rsrlzltvyzfzi104cfh2jcuimud0hwp00k	Karim Dz
z12rsrlzltvyzfzi104cfh2jcuimud0hwp00k.1447690310274797		0	2015-11-16 17:11:50	231de300	por qué la religión solo es para idiotas, no se decírtelo más claro, la prueba está que ni entre vosotros musulmanes tenéis un Islam único, muchas ramas diferentes que lo que confirma es que es un invento como la católica o cualquiera, te lo digo más claro aún, de existir un Dios en algún lugar, a los primeros que condenara son a los profetas que han hablado en su nombre, a todos aquellos que siguen doctrinas inventadas por hombres y a todos aquellos que invocando el nombre de dios o aludiendo al paraíso cometen crímenes, toooodos los creyentes del mundo blasfemáis, os cargáis en Dios al inventaros tantas escrituras tan diferentes unas de otras que como mínimo debería haceros reflexionar sobre toda la doctrina de mierda inventada que seguís, dios no quiere templos no quiere libros inventados, supongo que lo que quiere dios es que aprendamos desde nosotros mismos hacer lo mejor por el planeta que es su creación y por los demás, no necesitamos pastores, no son necesarios, son mierda.	UCVf9kvpOz3mQge6pq43PnJw	http://www.youtube.com/channel/UCVf9kvpOz3mQge6pq43PnJw	1	z12rsrlzltvyzfzi104cfh2jcuimud0hwp00k	Karim Dz
